trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,-39.8795951651301,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-52.46072902986836,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,0,-42.15008530024272,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,6,-5.003358956529356,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,0,-21.656020544672018,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
100,False,"{'a': 0.5, 'e': -0.10427232026655327}",20,12,11.634611616703546,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,1,39.5173720394192,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,22.465596908461542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,10,18.65111503997343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,8,35.42539271575191,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,11,16.17522786379853,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,13.327356829570524,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,19,9.14769655433332,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,26.661813076493225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,9,16.68972795876613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,39.783614144388494,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
